user_id,widget_id
173,251
200,280
221,292
228,296
235,298
242,300
242,300
242,300
258,306
261,309
261,310
261,311
261,312
261,315
267,318
267,319
268,320
269,322
270,324
385,357
388,360
388,362
388,363
388,365
388,366
415,378
423,384
447,399
450,401
450,401
450,401
465,408
525,419
532,433
538,437
539,438
541,439
542,440
542,440
542,440
547,443
548,445
548,446
548,447
548,448
548,449
551,450
551,451
553,452
554,454
556,456
631,506
632,507
632,508
632,509
632,510
632,511
637,514
640,516
674,539
675,540
675,540
675,540
680,544
940,597
950,611
959,615
960,616
961,617
963,618
963,618
963,618
967,621
969,623
969,624
969,625
969,626
969,627
971,628
971,629
973,630
974,632
975,634
1042,684
1045,685
1045,686
1045,687
1045,688
1045,689
1058,692
1061,694
1092,717
1096,718
1096,718
1096,718
1105,725
1446,777
1461,796
1471,804
1473,806
1475,808
1477,809
1477,809
1477,809
1482,812
1483,814
1483,815
1483,816
1483,817
1483,818
1485,819
1485,820
1486,821
1487,823
1488,825
1646,875
1647,876
1647,877
1647,878
1647,879
1647,880
1651,883
1652,885
1828,957
1829,958
1829,959
1829,960
1829,961
1829,962
1833,965
1834,967
1845,977
1851,991
1856,995
1857,996
1858,997
1859,998
1859,998
1859,998
1863,1001
1864,1003
1864,1004
1864,1005
1864,1006
1864,1007
1866,1008
1866,1009
1867,1010
1868,1012
1869,1014
1888,1032
1894,1046
1899,1050
1900,1051
1901,1052
1902,1053
1902,1053
1902,1053
1906,1056
1907,1058
1907,1059
1907,1060
1907,1061
1907,1062
1909,1063
1909,1064
1910,1065
1911,1067
1912,1069
1944,1100
1945,1101
1945,1101
1945,1101
1949,1105
1973,1129
1974,1130
1974,1130
1974,1130
1978,1134
2003,1158
2004,1159
2004,1159
2004,1159
2008,1163
2019,1174
2025,1188
2030,1192
2031,1193
2032,1194
2033,1195
2033,1195
2033,1195
2037,1198
2038,1200
2038,1201
2038,1202
2038,1203
2038,1204
2040,1205
2040,1206
2041,1207
2042,1209
2043,1211
2063,1229
2069,1243
2074,1247
2075,1248
2076,1249
2077,1250
2077,1250
2077,1250
2081,1253
2082,1255
2082,1256
2082,1257
2082,1258
2082,1259
2084,1260
2084,1261
2085,1262
2086,1264
2087,1266
2106,1284
2112,1298
2117,1302
2118,1303
2119,1304
2120,1305
2120,1305
2120,1305
2124,1308
2125,1310
2125,1311
2125,1312
2125,1313
2125,1314
2127,1315
2127,1316
2128,1317
2129,1319
2130,1321
2149,1339
2155,1353
2160,1357
2161,1358
2162,1359
2163,1360
2163,1360
2163,1360
2167,1363
2168,1365
2168,1366
2168,1367
2168,1368
2168,1369
2170,1370
2170,1371
2171,1372
2172,1374
2173,1376
2195,1394
2201,1408
2206,1412
2207,1413
2208,1414
2209,1415
2209,1415
2209,1415
2213,1418
2214,1420
2214,1421
2214,1422
2214,1423
2214,1424
2216,1425
2216,1426
2217,1427
2218,1429
2219,1431
2271,1449
2277,1463
2282,1467
2283,1468
2284,1469
2285,1470
2285,1470
2285,1470
2289,1473
2290,1475
2290,1476
2290,1477
2290,1478
2290,1479
2292,1480
2292,1481
2293,1482
2294,1484
2295,1486
2437,1587
2438,1588
2438,1589
2438,1590
2438,1591
2438,1592
2443,1595
2444,1597
2459,1613
2460,1614
2460,1615
2460,1616
2460,1617
2460,1618
2464,1621
2465,1623
2483,1639
2484,1640
2484,1641
2484,1642
2484,1643
2484,1644
2488,1647
2489,1649
2713,1769
2716,1770
2716,1771
2716,1772
2716,1773
2716,1774
2723,1777
2725,1779
2837,1798
2846,1812
2855,1816
2857,1817
2860,1818
2861,1819
2861,1819
2861,1819
2868,1822
2871,1824
2871,1825
2871,1826
2871,1827
2871,1828
2876,1829
2876,1830
2878,1831
2881,1833
2882,1835
3111,1892
3112,1893
3112,1894
3112,1895
3112,1896
3112,1897
3119,1900
3120,1902
3164,1929
3166,1932
3166,1932
3166,1932
3174,1940
3430,1976
3436,1990
3441,1994
3442,1995
3443,1996
3444,1997
3444,1997
3444,1997
3448,2000
3449,2002
3449,2003
3449,2004
3449,2005
3449,2006
3451,2007
3451,2008
3452,2009
3453,2011
3454,2013
3477,2037
3478,2038
3478,2039
3478,2040
3478,2041
3478,2042
3494,2045
3498,2047
3572,2087
3574,2088
3574,2088
3574,2088
3582,2095
3979,2154
3987,2168
3994,2172
3996,2173
3998,2174
3999,2175
3999,2175
3999,2175
4004,2178
4006,2180
4006,2181
4006,2182
4006,2183
4006,2184
4010,2185
4010,2186
4011,2187
4013,2189
4014,2191
4046,2215
4047,2216
4047,2217
4047,2218
4047,2219
4047,2220
4053,2223
4057,2225
4154,2274
4155,2275
4155,2275
4155,2275
4160,2279
4478,2332
4485,2346
4492,2350
4493,2351
4494,2352
4496,2353
4496,2353
4496,2353
4502,2356
4503,2358
4503,2359
4503,2360
4503,2361
4503,2362
4505,2363
4505,2364
4506,2365
4507,2367
4508,2369
4653,2459
4656,2462
4656,2463
4656,2464
4656,2466
4656,2467
