id,space_id
382,5707
383,5711
384,5723
385,5726
386,5729
387,5729
388,5731
389,5731
390,5733
391,5734
392,5735
393,5736
394,5737
395,5738
396,5741
399,5797
400,5801
401,5803
402,6054
403,6058
404,6076
405,6079
406,6085
407,6085
408,6091
409,6091
410,6095
411,6097
412,6099
413,6100
414,6103
415,6104
416,6107
417,6108
419,6112
421,6114
422,6462
423,6464
424,6466
425,6487
426,6491
427,6505
428,6508
429,6512
430,6512
431,6518
432,6518
433,6521
434,6525
435,6528
436,6530
437,6532
438,6534
439,6536
442,6872
443,6873
444,6875
445,6876
446,6879
447,6887
448,6888
449,6890
450,6890
451,6892
452,6892
453,6894
454,6895
455,6896
456,6898
457,6899
458,6900
459,6902
462,7269
463,7271
464,7273
465,7274
466,7277
467,7283
468,7284
469,7286
470,7286
471,7288
472,7288
473,7290
474,7291
475,7292
476,7293
477,7294
478,7297
479,7300
482,7612
483,7614
484,7616
485,7634
486,7635
487,7641
488,7642
489,7645
490,7645
491,7647
492,7647
493,7649
494,7650
495,7652
496,7653
497,7654
498,7655
499,7658
