id,space_id
1617,5590
1618,5592
1619,5591
1620,5594
1621,5595
1622,5595
1624,5596
1623,5596
1625,5598
1626,5599
1627,5599
1628,5600
1629,5600
1630,5601
1631,5602
1632,5602
1633,5602
1634,5602
1635,5602
1636,5604
1637,5604
1638,5605
1639,5606
1640,5607
1641,5609
1642,5610
1643,5611
1644,5612
1645,5614
1646,5614
1648,5616
1647,5616
1649,5617
1650,5617
1651,5617
1652,5617
1653,5617
1654,5619
1655,5619
1656,5620
1657,5621
1658,5622
1659,5624
1660,5625
1661,5626
1662,5627
1663,5628
1664,5631
1667,5638
1668,5641
1669,5641
1670,5642
1671,5642
1672,5644
1673,5644
1674,5644
1675,5644
1676,5644
1677,5647
1678,5648
1679,5651
1680,5652
1681,5652
1682,5652
1683,5652
1684,5652
1685,5654
1686,5656
1687,5658
1688,5662
1689,5668
1690,5671
1691,5707
1692,5711
1693,5723
1694,5726
1695,5729
1696,5729
1697,5731
1698,5731
1699,5733
1700,5734
1701,5735
1702,5736
1703,5737
1704,5738
1705,5741
1706,5743
1707,5746
1708,5797
1709,5801
1710,5803
1711,5991
1712,5993
1713,5992
1714,5997
1715,5998
1716,5998
1718,5999
1717,5999
1719,6001
1720,6002
1721,6002
1722,6004
1723,6004
1724,6005
1725,6006
1726,6006
1727,6006
1728,6006
1729,6006
1730,6008
1731,6008
1732,6010
1733,6013
1734,6015
1735,6019
1736,6023
1737,6026
1738,6029
1739,6035
1740,6035
1742,6038
1741,6038
1743,6040
1744,6040
1745,6040
1746,6040
1747,6040
1748,6043
1749,6043
1750,6046
1751,6048
1752,6052
1753,6054
1754,6059
1755,6058
1756,6061
1757,6064
1758,6068
1759,6072
1760,6076
1761,6080
1762,6079
1765,6085
1766,6085
1767,6091
1768,6091
1769,6095
1770,6097
1771,6099
1772,6100
1773,6103
1774,6104
1775,6107
1776,6108
1777,6110
1778,6112
1779,6113
1780,6114
1781,6123
1782,6127
1783,6127
1784,6128
1785,6128
1786,6129
1787,6129
1788,6129
1789,6129
1790,6129
1791,6132
1792,6133
1793,6136
1794,6137
1795,6137
1796,6137
1797,6137
1798,6137
1799,6138
1800,6140
1801,6142
1802,6143
1803,6146
1804,6148
1805,6351
1806,6353
1807,6352
1808,6355
1809,6356
1810,6356
1812,6357
1811,6357
1813,6358
1814,6359
1815,6359
1816,6360
1817,6360
1818,6361
1819,6362
1820,6362
1821,6362
1822,6362
1823,6362
1824,6363
1825,6363
1826,6364
1827,6365
1828,6366
1829,6368
1830,6369
1831,6370
1832,6371
1833,6373
1834,6373
1836,6375
1835,6375
1837,6376
1838,6376
1839,6376
1840,6376
1841,6376
1842,6378
1843,6378
1844,6379
1845,6380
1846,6381
1847,6383
1848,6384
1849,6385
1850,6386
1851,6387
1852,6390
1855,6462
1856,6464
1857,6466
1858,6469
1859,6474
1860,6474
1861,6477
1862,6477
1863,6480
1864,6480
1865,6480
1866,6480
1867,6480
1868,6485
1869,6488
1870,6487
1871,6491
1872,6492
