id,space_id
61,115
62,118
63,128
64,130
65,138
66,138
67,148
68,148
69,155
70,161
71,164
72,170
73,174
74,178
75,186
78,217
79,220
80,223
81,279
82,279
83,285
84,291
85,300
86,301
87,305
89,517
90,518
91,520
92,691
93,692
94,699
95,700
96,702
97,702
98,705
99,705
100,707
101,708
102,709
103,710
104,711
105,712
106,714
109,719
110,719
111,720
112,722
113,727
114,729
115,733
117,849
118,854
119,857
120,1003
121,1005
122,1013
123,1014
124,1016
125,1016
126,1018
127,1018
128,1020
129,1021
130,1022
132,1024
131,1025
133,1024
134,1026
135,1027
136,1028
137,1031
138,1032
141,1038
142,1040
143,1042
145,1245
146,1246
147,1247
148,1318
149,1318
150,1321
151,1324
152,1330
153,1331
154,1334
156,1367
157,1368
158,1374
159,1375
160,1377
161,1377
162,1379
163,1379
164,1381
165,1382
166,1383
167,1384
168,1385
169,1386
170,1388
173,1921
174,1922
175,1923
176,1951
177,1952
178,1953
179,1984
180,1985
181,1986
182,2079
183,2080
184,2081
185,2126
186,2127
187,2128
188,2156
189,2157
190,2158
191,2186
192,2187
193,2188
194,2237
195,2237
196,2238
197,2240
198,2244
199,2245
200,2247
202,2548
203,2549
204,2555
205,2556
206,2558
207,2558
208,2560
209,2560
210,2562
211,2563
212,2564
213,2565
214,2566
215,2567
216,2569
219,2675
220,2676
221,2677
222,2679
223,2679
224,2680
225,2682
226,2687
227,2688
228,2690
230,2985
231,2987
232,2991
233,2999
234,2999
235,3002
236,3004
237,3008
238,3009
239,3022
240,3025
241,3026
242,3028
243,3030
245,3033
246,3033
247,3039
248,3039
249,3043
250,3045
251,3048
252,3051
253,3053
254,3056
255,3061
258,3517
259,3521
260,3526
261,3549
262,3552
263,3550
264,3550
265,3556
266,3562
267,3568
268,3570
269,3573
270,3576
272,3576
271,3575
273,3579
274,3580
275,3579
276,3582
278,3584
279,3586
280,3587
281,3588
282,3589
283,3592
286,3891
287,3892
288,3899
289,3901
290,3903
291,3903
292,3907
293,3907
294,3912
295,3913
296,3915
297,3917
298,3919
299,3922
300,3924
303,3977
304,3978
305,3979
306,4064
307,4064
308,4066
309,4069
310,4074
311,4075
312,4077
314,4365
315,4366
316,4373
317,4375
318,4378
319,4378
320,4383
321,4383
322,4389
323,4391
324,4395
325,4397
326,4401
327,4403
328,4407
331,4424
332,4425
333,4426
334,4508
335,4508
336,4509
337,4512
338,4519
339,4521
340,4526
342,4955
343,4957
344,4959
345,4965
346,4966
347,4974
348,4976
349,4979
350,4979
351,4983
352,4983
353,4987
354,4988
355,4989
356,4991
357,4993
358,4995
359,4999
362,5275
363,5276
364,5277
365,5365
366,5366
367,5372
368,5373
369,5375
370,5375
371,5377
372,5377
373,5379
374,5380
375,5381
376,5382
377,5383
378,5384
379,5386
